"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181"
"1",1,0.0224358974358974,1,1,0.226006191950464,1,0,0,0,1,1,0,1,1,1,0,1,0.0350877192982456,1,1,1,1,0,1,0.0445859872611465,1,0,1,1,0.0557377049180328,1,0.0439189189189189,0.0274390243902439,0,1,0.2508038585209,0.0151975683890578,1,1,0,0.0303030303030303,0,0.378125,0,0,0,0,0.0349206349206349,0.947530864197531,0,1,1,0,0.996815286624204,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.962732919254658,1,1,0.0258064516129032,1,0.949526813880126,1,1,1,1,1,1,0.103559870550162,1,0.0432098765432099,0.199346405228758,1,0.119631901840491,0.97289156626506,1,0,0.0249221183800623,1,1,1,1,0.380804953560372,1,1,1,0.0216049382716049,0,0,1,1,1,1,1,0.962732919254658,1,0.292834890965732,1,1,1,0.391167192429022,1,1,1,0,1,1,0,1,1,0,1,0.19435736677116,0,0.0247678018575851,1,0.0253968253968254,0,0,1,1,1,1,0.968152866242038,0.0210843373493976,1,0,0.201923076923077,0.0321543408360129,1,0,0,0,0.0186335403726708,0,0,1,0.0188087774294671,0,1,0,0,1,0,0.454838709677419,1,0.931464174454829,1,0,1,0,0,0.114803625377644,1,0,1,1,1,1,0,1
"2",0.0224358974358974,1,0.0307167235494881,0.0220125786163522,0.795379537953795,0.0261437908496732,0.974603174603175,0.970588235294118,0.973856209150327,0.0285714285714286,0.0254777070063694,0.977124183006536,0.0269360269360269,0.0198019801980198,0.0284810126582278,0.977635782747604,0.0231788079470199,0.990740740740741,0.0260586319218241,0.0290322580645161,0.0220820189274448,0.0296052631578947,0.973597359735974,0.0212765957446809,0.986798679867987,0.0191693290734824,0.970779220779221,0.029126213592233,0.022508038585209,0.965277777777778,0.0283018867924528,0.989690721649485,1,0.977272727272727,0.0220820189274448,0.77891156462585,0.986798679867987,0.0298013245033113,0.0258064516129032,0.981132075471698,0.987301587301587,0.976744186046512,0.652733118971061,0.977564102564103,0.97444089456869,0.971061093247588,0.97682119205298,0.983606557377049,0.0938511326860841,0.974522292993631,0.0250783699059561,0.0271186440677966,0.980891719745223,0.0229508196721311,0.021875,0.0260586319218241,0.0191693290734824,0.0264026402640264,0.0227272727272727,0.0195439739413681,0.976027397260274,0.022508038585209,0.983818770226537,0.977272727272727,0.0223642172523962,0.0132013201320132,0.974763406940063,0.0253968253968254,0.0264900662251656,0.0257234726688103,0.021875,0.0228758169934641,0.0219435736677116,0.0258899676375405,0.0163934426229508,0.980392156862745,0.0689655172413793,0.0229508196721311,0.0286624203821656,1,0.0298013245033113,0.113268608414239,0.0290322580645161,0.0196078431372549,0.0216049382716049,0.0194805194805195,0.0160771704180064,0.0260586319218241,0.899665551839465,0.0214067278287462,0.986970684039088,0.834459459459459,0.0158227848101266,0.911475409836066,0.0521172638436482,0.0166112956810631,0.972222222222222,1,0.0203389830508475,0.0260586319218241,0.0258899676375405,0.0256410256410256,0.637254901960784,0.0197368421052632,0.0222929936305732,0.0224358974358974,0.993690851735016,0.970394736842105,0.973509933774834,0.0266666666666667,0.0156739811912226,0.0220820189274448,0.0225806451612903,0.0230263157894737,0.0618892508143322,0.0226537216828479,0.730769230769231,0.022508038585209,0.02,0.0131578947368421,0.631921824104234,0.0226537216828479,0.0194174757281553,0.0198019801980198,0.975,0.0161812297734628,0.0254777070063694,0.973941368078176,0.0161812297734628,0.022508038585209,0.973856209150327,0.0165562913907285,0.810810810810811,0.98125,1,0.0228013029315961,1,0.977272727272727,0.973597359735974,0.0192307692307692,0.025974025974026,0.0253968253968254,0.022508038585209,0.051948051948052,0.984423676012461,0.0258899676375405,0.977124183006536,0.816053511705686,0.993197278911565,0.0236486486486486,0.993265993265993,0.977124183006536,0.990683229813665,1,0.980582524271845,0.97029702970297,0.0241379310344828,1,0.973770491803279,0.0264026402640264,0.983974358974359,0.979933110367893,0.0255591054313099,0.971337579617834,0.570469798657718,0.0263157894736842,0.103225806451613,0.0295081967213115,0.980327868852459,0.025,0.973244147157191,0.96969696969697,0.917721518987342,0.0299003322259136,0.980645161290323,0.0222929936305732,0.0226537216828479,0.0226537216828479,0.029126213592233,0.974193548387097,0.0258899676375405
"3",1,0.0307167235494881,1,1,0.234323432343234,1,0,0,0,1,1,0,1,1,1,0,1,0.0458715596330275,1,1,1,1,0,1,0.0544871794871795,1,0,1,1,0.0610169491525424,1,0.0462633451957295,0.035031847133758,0,1,0.253333333333333,0.0231788079470199,1,1,0,0.0358306188925081,0,0.384364820846906,0,0,0,0,0.0419354838709677,0.931372549019608,0,1,1,0,0.993421052631579,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.965079365079365,1,1,0.0371621621621622,1,0.92358803986711,1,1,1,1,1,1,0.122033898305085,1,0.0488599348534202,0.197952218430034,1,0.115755627009646,0.96742671009772,1,0,0.0316455696202532,1,1,1,1,0.39413680781759,1,1,1,0.0261437908496732,0,0,1,1,1,1,1,0.964401294498382,1,0.298076923076923,1,1,1,0.391447368421053,1,1,1,0,1,1,0,1,1,0,1,0.220689655172414,0,0.0351437699680511,1,0.0337837837837838,0,0,1,1,1,1,0.970099667774086,0.0223642172523962,1,0,0.212328767123288,0.0398671096345515,1,0,0,0,0.0268456375838926,0,0,1,0.0264026402640264,0,1,0,0,1,0,0.473154362416107,1,0.932258064516129,0.996677740863787,0,1,0,0,0.104430379746835,1,0,1,1,1,1,0,1
"4",1,0.0220125786163522,1,1,0.201201201201201,1,0,0,0,1,1,0,1,1,1,0,1,0.0346820809248555,1,1,1,1,0,1,0.0398773006134969,1,0,1,1,0.0578778135048231,1,0.0422077922077922,0.0266272189349112,0,1,0.235849056603774,0.0152905198776758,1,1,0,0.03003003003003,0,0.359281437125749,0,0,0,0,0.0393939393939394,0.931137724550898,0,1,1,0,0.993827160493827,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.95906432748538,1,1,0.0283018867924528,1,0.922360248447205,1,1,1,1,1,1,0.101538461538462,1,0.0383480825958702,0.174050632911392,1,0.11377245508982,0.969879518072289,1,0,0.0238805970149254,1,1,1,1,0.366459627329193,1,1,1,0.023598820058997,0,0,1,1,1,1,1,0.955223880597015,1,0.274096385542169,1,1,1,0.365853658536585,1,1,1,0,1,1,0,1,1,0,1,0.187096774193548,0,0.0240963855421687,1,0.021671826625387,0,0,1,1,1,1,0.962962962962963,0.0231884057971014,1,0,0.195046439628483,0.034375,1,0,0,0,0.0153846153846154,0,0,1,0.0181268882175227,0,1,0,0,1,0,0.429467084639498,1,0.929878048780488,0.996960486322188,0,1,0,0,0.103550295857988,1,0,1,1,1,1,0,1
"5",0.226006191950464,0.795379537953795,0.234323432343234,0.201201201201201,1,0.216981132075472,0.791925465838509,0.782051282051282,0.791925465838509,0.253918495297806,0.214067278287462,0.779179810725552,0.222972972972973,0.22508038585209,0.20440251572327,0.800623052959502,0.210191082802548,0.825443786982249,0.215873015873016,0.201863354037267,0.22257053291536,0.227848101265823,0.773584905660377,0.228228228228228,0.818181818181818,0.216981132075472,0.781931464174455,0.218068535825545,0.235109717868339,0.809364548494983,0.203125,0.838028169014085,0.792048929663609,0.796296296296296,0.215151515151515,0.973770491803279,0.808917197452229,0.240384615384615,0.217791411042945,0.792682926829268,0.829652996845426,0.770491803278688,0.862928348909657,0.841269841269841,0.773700305810398,0.768987341772152,0.779179810725552,0.835483870967742,0.291925465838509,0.770440251572327,0.222560975609756,0.159235668789809,0.785932721712538,0.220064724919094,0.221538461538462,0.21671826625387,0.233644859813084,0.23202614379085,0.208333333333333,0.195512820512821,0.788079470198676,0.221875,0.782467532467532,0.798107255520505,0.217391304347826,0.215946843853821,0.772727272727273,0.24,0.207006369426752,0.205696202531646,0.216463414634146,0.218354430379747,0.200617283950617,0.191693290734824,0.194888178913738,0.781645569620253,0.261682242990654,0.237654320987654,0.230061349693252,0.804560260586319,0.213622291021672,0.304075235109718,0.215625,0.221153846153846,0.219879518072289,0.210191082802548,0.230061349693252,0.210355987055016,0.914826498422713,0.228228228228228,0.826366559485531,0.986970684039088,0.211009174311927,0.905660377358491,0.268518518518519,0.221122112211221,0.761329305135952,0.821538461538462,0.223684210526316,0.234177215189873,0.228571428571429,0.237082066869301,0.853035143769968,0.21474358974359,0.207547169811321,0.241935483870968,0.830188679245283,0.761006289308176,0.795454545454545,0.205787781350482,0.206686930091185,0.224924012158055,0.219814241486068,0.225806451612903,0.261538461538462,0.229102167182663,0.91875,0.213166144200627,0.253333333333333,0.19620253164557,0.823343848580442,0.213166144200627,0.21474358974359,0.19811320754717,0.767857142857143,0.204472843450479,0.206896551724138,0.790123456790123,0.206896551724138,0.226708074534162,0.786624203821656,0.20440251572327,0.835526315789474,0.776073619631902,0.829192546583851,0.228571428571429,0.810289389067524,0.77639751552795,0.784313725490196,0.220125786163522,0.201954397394137,0.223270440251572,0.235109717868339,0.257328990228013,0.797583081570997,0.226708074534162,0.788343558282209,1,0.844884488448845,0.203947368421053,0.774509803921569,0.776357827476038,0.794642857142857,0.809677419354839,0.769968051118211,0.778135048231511,0.203883495145631,0.810126582278481,0.785016286644951,0.219354838709677,0.766025641025641,0.779179810725552,0.226006191950464,0.768025078369906,0.762987012987013,0.203821656050955,0.317460317460317,0.222222222222222,0.777777777777778,0.230529595015576,0.777777777777778,0.782051282051282,0.909657320872274,0.231511254019293,0.78125,0.211656441717791,0.213166144200627,0.219047619047619,0.234177215189873,0.777777777777778,0.233438485804416
"6",1,0.0261437908496732,1,1,0.216981132075472,1,0,0,0,1,1,0,1,1,1,0,1,0.0415430267062315,1,1,1,1,0,1,0.0487012987012987,1,0,1,1,0.0633333333333333,1,0.0484429065743945,0.0305810397553517,0,1,0.246753246753247,0.0221518987341772,1,1,0,0.0345911949685535,0,0.36085626911315,0,0,0,0,0.0444444444444444,0.921135646687697,0,1,1,0,0.993464052287582,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.949685534591195,1,1,0.0328947368421053,1,0.914285714285714,1,1,1,1,1,1,0.117647058823529,1,0.0480769230769231,0.191419141914191,1,0.122641509433962,0.961661341853035,1,0,0.0278637770897833,1,1,1,1,0.386363636363636,1,1,1,0.0274390243902439,0,0,1,1,1,1,1,0.948717948717949,1,0.305295950155763,1,1,1,0.381578947368421,1,1,1,0,1,1,0,1,1,0,1,0.202614379084967,0,0.0307692307692308,1,0.0293159609120521,0,0,1,1,1,1,0.955128205128205,0.0244648318042813,1,0,0.201277955271566,0.0419354838709677,1,0,0,0,0.0221518987341772,0,0,1,0.0258064516129032,0,1,0,0,1,0,0.447712418300654,1,0.914556962025316,0.996815286624204,0,1,0,0,0.105590062111801,1,0,1,1,1,1,0,1
"7",0,0.974603174603175,0,0,0.791925465838509,0,1,1,1,0,0,1,0,0,0,1,0,0.964391691394659,0,0,0,0,1,0,0.953703703703704,0,1,0,0,0.9375,0,0.958904109589041,0.972560975609756,1,0,0.781350482315113,0.983974358974359,0,0,1,0.968553459119497,1,0.645061728395062,1,1,1,1,0.958990536277603,0.0778816199376947,1,0,0,1,0.00311526479750779,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0458715596330275,0,0,0.971153846153846,0,0.0802469135802469,0,0,0,0,0,0,0.892744479495268,0,0.955414012738854,0.807073954983923,0,0.88109756097561,0.0347003154574132,0,1,0.975384615384615,0,0,0,0,0.631901840490798,0,0,0,0.972727272727273,1,1,0,0,0,0,0,0.0429447852760736,0,0.7217125382263,0,0,0,0.629392971246006,0,0,0,1,0,0,1,0,0,1,0,0.806451612903226,1,0.972560975609756,0,0.974842767295597,1,1,0,0,0,0,0.0422077922077922,0.976190476190476,0,1,0.802588996763754,0.96474358974359,0,1,1,1,0.977917981072555,1,1,0,0.984025559105431,1,0,1,1,0,1,0.554838709677419,0,0.0757097791798107,0,1,0,1,1,0.890532544378698,0,1,0,0,0,0,1,0
"8",0,0.970588235294118,0,0,0.782051282051282,0,1,1,1,0,0,1,0,0,0,1,0,0.960244648318043,0,0,0,0,1,0,0.953947368421053,0,1,0,0,0.948096885813149,0,0.954063604240283,0.965189873417722,1,0,0.758278145695364,0.980645161290323,0,0,1,0.968152866242038,1,0.629032258064516,1,1,1,1,0.961165048543689,0.0651465798045603,1,0,0,1,0.00335570469798658,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0375,0,0,0.966216216216216,0,0.0779220779220779,0,0,0,0,0,0,0.892857142857143,0,0.954397394136808,0.810810810810811,0,0.883280757097792,0.0321543408360129,0,1,0.967948717948718,0,0,0,0,0.621262458471761,0,0,0,0.970873786407767,1,1,0,0,0,0,0,0.0359477124183007,0,0.723684210526316,0,0,0,0.618421052631579,0,0,0,1,0,0,1,0,0,1,0,0.79734219269103,1,0.968354430379747,0,0.967637540453074,1,1,0,0,0,0,0.0360655737704918,0.975,0,1,0.800664451827243,0.959322033898305,0,1,1,1,0.973154362416107,1,1,0,0.976510067114094,1,0,1,1,0,1,0.54180602006689,0,0.0707395498392283,0,1,0,1,1,0.891975308641975,0,1,0,0,0,0,1,0
"9",0,0.973856209150327,0,0,0.791925465838509,0,1,1,1,0,0,1,0,0,0,1,0,0.967261904761905,0,0,0,0,1,0,0.958199356913183,0,1,0,0,0.942567567567568,0,0.954861111111111,0.968847352024922,1,0,0.761904761904762,0.984227129337539,0,0,1,0.971608832807571,1,0.623003194888179,1,1,1,1,0.964516129032258,0.0569620253164557,1,0,0,1,0.00317460317460317,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0276923076923077,0,0,0.970491803278689,0,0.0685358255451713,0,0,0,0,0,0,0.900641025641026,0,0.959119496855346,0.828382838283828,0,0.884375,0.0186915887850467,0,1,0.972307692307692,0,0,0,0,0.605769230769231,0,0,0,0.972727272727273,1,1,0,0,0,0,0,0.0248447204968944,0,0.723926380368098,0,0,0,0.594249201277955,0,0,0,1,0,0,1,0,0,1,0,0.8125,1,0.972560975609756,0,0.96875,1,1,0,0,0,0,0.0252365930599369,0.972809667673716,0,1,0.805194805194805,0.960526315789474,0,1,1,1,0.978056426332288,1,1,0,0.978056426332288,1,0,1,1,0,1,0.529220779220779,0,0.0571428571428571,0.00316455696202532,1,0,1,1,0.892307692307692,0,1,0,0,0,0,1,0
"10",1,0.0285714285714286,1,1,0.253918495297806,1,0,0,0,1,1,0,1,1,1,0,1,0.0449101796407186,1,1,1,1,0,1,0.0537974683544304,1,0,1,1,0.0702341137123746,1,0.0524475524475524,0.0340557275541796,0,1,0.282894736842105,0.0222222222222222,1,1,0,0.0378548895899054,0,0.397435897435897,0,0,0,0,0.0483870967741935,0.929936305732484,0,1,1,0,0.996763754045307,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.957186544342508,1,1,0.0364238410596026,1,0.914826498422713,1,1,1,1,1,1,0.123778501628664,1,0.0534591194968553,0.226973684210526,1,0.146496815286624,0.968652037617555,1,0,0.0313479623824451,1,1,1,1,0.405228758169935,1,1,1,0.0314465408805031,0,0,1,1,1,1,1,0.958466453674121,1,0.320987654320988,1,1,1,0.412698412698413,1,1,1,0,1,1,0,1,1,0,1,0.21523178807947,0,0.034375,1,0.0321543408360129,0,0,1,1,1,1,0.963934426229508,0.0272727272727273,1,0,0.241721854304636,0.0453074433656958,1,0,0,0,0.0256410256410256,0,0,1,0.0258064516129032,0,1,0,0,1,0,0.483660130718954,1,0.929032258064516,0.99672131147541,0,1,0,0,0.133956386292835,1,0,1,1,1,1,0,1
