Tag	Sample	Cluster
GSM748299	GSM748299	C2
GSM748300	GSM748300	C2
GSM748301	GSM748301	C3
GSM748302	GSM748302	C3
GSM748303	GSM748303	C3
GSM748304	GSM748304	C2
GSM748305	GSM748305	C3
GSM748306	GSM748306	C3
GSM748307	GSM748307	C2
GSM748308	GSM748308	C3
GSM748309	GSM748309	C3
GSM748310	GSM748310	C2
GSM748311	GSM748311	C2
GSM748312	GSM748312	C3
GSM748313	GSM748313	C3
GSM748314	GSM748314	C2
GSM748315	GSM748315	C1
GSM748316	GSM748316	C1
GSM748317	GSM748317	C2
GSM748318	GSM748318	C3
GSM748320	GSM748320	C2
GSM748321	GSM748321	C3
GSM748323	GSM748323	C2
GSM748324	GSM748324	C3
GSM748325	GSM748325	C3
GSM748326	GSM748326	C2
GSM748327	GSM748327	C2
GSM748328	GSM748328	C2
GSM748329	GSM748329	C2
GSM748330	GSM748330	C3
GSM748332	GSM748332	C3
GSM748333	GSM748333	C2
GSM748334	GSM748334	C3
GSM748335	GSM748335	C2
GSM748336	GSM748336	C2
GSM748337	GSM748337	C1
GSM748338	GSM748338	C2
GSM748339	GSM748339	C3
GSM748341	GSM748341	C2
GSM748342	GSM748342	C3
GSM748343	GSM748343	C2
GSM748344	GSM748344	C1
GSM748345	GSM748345	C1
GSM748346	GSM748346	C1
GSM748347	GSM748347	C3
GSM748348	GSM748348	C2
GSM748349	GSM748349	C2
GSM748350	GSM748350	C2
GSM748351	GSM748351	C3
GSM748352	GSM748352	C1
GSM748353	GSM748353	C2
GSM748354	GSM748354	C3
GSM748355	GSM748355	C1
GSM748357	GSM748357	C1
GSM748358	GSM748358	C2
GSM748359	GSM748359	C2
GSM748360	GSM748360	C3
GSM748361	GSM748361	C3
GSM748362	GSM748362	C2
GSM748363	GSM748363	C3
GSM748364	GSM748364	C1
GSM748365	GSM748365	C2
GSM748366	GSM748366	C1
