"","Freq","Genes"
"TTN",298,"TTN"
"CSMD3",177,"CSMD3"
"RYR2",173,"RYR2"
"MUC16",171,"MUC16"
"USH2A",133,"USH2A"
"LRP1B",129,"LRP1B"
"TP53",126,"TP53"
"ZFHX4",120,"ZFHX4"
"FLG",98,"FLG"
"SPTA1",93,"SPTA1"
"XIRP2",90,"XIRP2"
"FAT3",84,"FAT3"
"KRAS",81,"KRAS"
"PCDH15",75,"PCDH15"
"MUC17",71,"MUC17"
"PAPPA2",65,"PAPPA2"
"TNR",64,"TNR"
"ZNF536",64,"ZNF536"
"RP1L1",63,"RP1L1"
"RYR3",63,"RYR3"
"ADAMTS12",62,"ADAMTS12"
"COL11A1",61,"COL11A1"
"NAV3",58,"NAV3"
"KEAP1",57,"KEAP1"
"NPAP1",57,"NPAP1"
"ANK2",56,"ANK2"
"CSMD1",56,"CSMD1"
"DMD",55,"DMD"
"DNAH9",54,"DNAH9"
"PCDH11X",54,"PCDH11X"
"CACNA1E",53,"CACNA1E"
"PTPRD",53,"PTPRD"
"ADGRG4",50,"ADGRG4"
"FAT4",50,"FAT4"
"NALCN",50,"NALCN"
"PCLO",50,"PCLO"
"SI",50,"SI"
"CDH10",49,"CDH10"
"CSMD2",48,"CSMD2"
"PXDNL",48,"PXDNL"
"STK11",47,"STK11"
"LRRC7",46,"LRRC7"
"RYR1",46,"RYR1"
"AHNAK2",45,"AHNAK2"
"APOB",45,"APOB"
"ERICH3",45,"ERICH3"
"OBSCN",45,"OBSCN"
"ASTN1",44,"ASTN1"
"EGFR",44,"EGFR"
"SORCS1",44,"SORCS1"
"FAM135B",43,"FAM135B"
"HMCN1",43,"HMCN1"
"NRXN1",43,"NRXN1"
"ZNF804A",43,"ZNF804A"
"FBN2",42,"FBN2"
"HERC2",42,"HERC2"
"MXRA5",42,"MXRA5"
"PEG3",42,"PEG3"
"VCAN",42,"VCAN"
"SYNE1",41,"SYNE1"
"BRINP3",40,"BRINP3"
"DNAH8",40,"DNAH8"
"ADGRL3",39,"ADGRL3"
"ASPM",39,"ASPM"
"MUC5B",39,"MUC5B"
"MYH1",39,"MYH1"
"NEB",39,"NEB"
"PKHD1",39,"PKHD1"
"AHNAK",38,"AHNAK"
"MYH2",38,"MYH2"
"NF1",38,"NF1"
"RELN",38,"RELN"
"ABCA13",37,"ABCA13"
"COL12A1",37,"COL12A1"
"DNAH5",37,"DNAH5"
"DOCK2",37,"DOCK2"
"FLG2",37,"FLG2"
"PRDM9",37,"PRDM9"
"PRUNE2",37,"PRUNE2"
"RIMS2",37,"RIMS2"
"TG",37,"TG"
"ADGRV1",36,"ADGRV1"
"CUBN",36,"CUBN"
"NLRP3",36,"NLRP3"
"PCDH10",36,"PCDH10"
"SNTG1",36,"SNTG1"
"SYNE2",36,"SYNE2"
"TLR4",36,"TLR4"
"UNC79",36,"UNC79"
"CNTNAP2",35,"CNTNAP2"
"COL6A3",35,"COL6A3"
"CTNNA2",35,"CTNNA2"
"PKHD1L1",34,"PKHD1L1"
"CNTNAP5",33,"CNTNAP5"
"DST",33,"DST"
"HRNR",33,"HRNR"
"LRP2",33,"LRP2"
"SVEP1",33,"SVEP1"
"TSHZ3",33,"TSHZ3"
"ZNF804B",33,"ZNF804B"
"ANKRD30A",32,"ANKRD30A"
"ASXL3",32,"ASXL3"
"CDH9",32,"CDH9"
"F8",32,"F8"
"MROH2B",32,"MROH2B"
"MYH8",32,"MYH8"
"NCKAP5",32,"NCKAP5"
"PTPRT",32,"PTPRT"
"ADAMTS20",31,"ADAMTS20"
"COL3A1",31,"COL3A1"
"PKD1L1",31,"PKD1L1"
"SPATA31A6",31,"SPATA31A6"
"SPATA31D1",31,"SPATA31D1"
"TNN",31,"TNN"
"TRPS1",31,"TRPS1"
"UNC13C",31,"UNC13C"
"BIRC6",30,"BIRC6"
"COL22A1",30,"COL22A1"
"CRB1",30,"CRB1"
"DSCAM",30,"DSCAM"
"EPHA3",30,"EPHA3"
"EPHA5",30,"EPHA5"
"FAM47A",30,"FAM47A"
"FAT2",30,"FAT2"
"HCN1",30,"HCN1"
"HYDIN",30,"HYDIN"
"LAMA1",30,"LAMA1"
"LAMA2",30,"LAMA2"
"MYH7",30,"MYH7"
"SETBP1",30,"SETBP1"
"ADGRB3",29,"ADGRB3"
"COL5A2",29,"COL5A2"
"COL6A6",29,"COL6A6"
"HECW1",29,"HECW1"
"LPA",29,"LPA"
"SLITRK1",29,"SLITRK1"
"TAF1L",29,"TAF1L"
"TENM1",29,"TENM1"
"ZNF831",29,"ZNF831"
"ATM",28,"ATM"
"CDH12",28,"CDH12"
"DNAH3",28,"DNAH3"
"FAM47B",28,"FAM47B"
"FAM47C",28,"FAM47C"
"FLNC",28,"FLNC"
"GRIN2B",28,"GRIN2B"
"LPPR4",28,"LPPR4"
"NOTCH4",28,"NOTCH4"
"PTPRZ1",28,"PTPRZ1"
"RGPD4",28,"RGPD4"
"SALL1",28,"SALL1"
"SLIT2",28,"SLIT2"
"SLITRK3",28,"SLITRK3"
"SSPO",28,"SSPO"
"ZFPM2",28,"ZFPM2"
"CPS1",27,"CPS1"
"DCDC1",27,"DCDC1"
"DNAH7",27,"DNAH7"
"ERBB4",27,"ERBB4"
"FMN2",27,"FMN2"
"GPR158",27,"GPR158"
"HDAC9",27,"HDAC9"
"KLHL1",27,"KLHL1"
"LRRIQ1",27,"LRRIQ1"
"MACF1",27,"MACF1"
"MGAM",27,"MGAM"
"PLEC",27,"PLEC"
"ROBO2",27,"ROBO2"
"SETD2",27,"SETD2"
"SLITRK2",27,"SLITRK2"
"TENM3",27,"TENM3"
"THSD7A",27,"THSD7A"
"ZNF521",27,"ZNF521"
"COL14A1",26,"COL14A1"
"CTNND2",26,"CTNND2"
"DOCK10",26,"DOCK10"
"FAT1",26,"FAT1"
"GRIN2A",26,"GRIN2A"
"ITGAX",26,"ITGAX"
"KALRN",26,"KALRN"
"KCNT2",26,"KCNT2"
"KDR",26,"KDR"
"KIAA1109",26,"KIAA1109"
"KIF2B",26,"KIF2B"
"MAP2",26,"MAP2"
"MYO16",26,"MYO16"
"MYO18B",26,"MYO18B"
"NELL1",26,"NELL1"
"PTPRB",26,"PTPRB"
"SMARCA4",26,"SMARCA4"
"SPHKAP",26,"SPHKAP"
"THSD7B",26,"THSD7B"
"TIAM1",26,"TIAM1"
"TPTE",26,"TPTE"
"ABCB5",25,"ABCB5"
"ABCC11",25,"ABCC11"
"AFF2",25,"AFF2"
"CENPF",25,"CENPF"
"COL19A1",25,"COL19A1"
"EYS",25,"EYS"
"GRM5",25,"GRM5"
"HEPH",25,"HEPH"
"ITGA8",25,"ITGA8"
"LRRC4C",25,"LRRC4C"
"LRRTM4",25,"LRRTM4"
"LTBP1",25,"LTBP1"
"MDGA2",25,"MDGA2"
"MGA",25,"MGA"
"MYH13",25,"MYH13"
"MYT1L",25,"MYT1L"
"OR4A15",25,"OR4A15"
"OTOGL",25,"OTOGL"
"SEZ6L",25,"SEZ6L"
"SLC8A1",25,"SLC8A1"
"UNC5D",25,"UNC5D"
"ZP4",25,"ZP4"
"ADAMTSL3",24,"ADAMTSL3"
"DMBT1",24,"DMBT1"
"DNAH11",24,"DNAH11"
"FRAS1",24,"FRAS1"
"KMT2C",24,"KMT2C"
"LYST",24,"LYST"
"MMRN1",24,"MMRN1"
"MRC1",24,"MRC1"
"NLGN4X",24,"NLGN4X"
"OTOF",24,"OTOF"
"PCDH17",24,"PCDH17"
"PCDHB8",24,"PCDHB8"
"PLCB1",24,"PLCB1"
"SCN10A",24,"SCN10A"
"SCN1A",24,"SCN1A"
"SEMA5A",24,"SEMA5A"
"SLC39A12",24,"SLC39A12"
"TEX15",24,"TEX15"
"ZNF479",24,"ZNF479"
"ANK3",23,"ANK3"
"BRAF",23,"BRAF"
"BRCA2",23,"BRCA2"
"CDH7",23,"CDH7"
"CNTN5",23,"CNTN5"
"CNTNAP4",23,"CNTNAP4"
"COL4A5",23,"COL4A5"
"DNAH10",23,"DNAH10"
"FAM83B",23,"FAM83B"
"GRID2",23,"GRID2"
"NRCAM",23,"NRCAM"
"PRKDC",23,"PRKDC"
"SORCS3",23,"SORCS3"
"SPATA31A1",23,"SPATA31A1"
"TENM2",23,"TENM2"
"ZDBF2",23,"ZDBF2"
"ADCY2",22,"ADCY2"
"ANK1",22,"ANK1"
"CDH23",22,"CDH23"
"CDH8",22,"CDH8"
"CHL1",22,"CHL1"
"GRM7",22,"GRM7"
"KMT2D",22,"KMT2D"
"MED12",22,"MED12"
"MYH4",22,"MYH4"
"MYH6",22,"MYH6"
"NBAS",22,"NBAS"
"NRXN3",22,"NRXN3"
"RBM10",22,"RBM10"
"SCN5A",22,"SCN5A"
"SPEF2",22,"SPEF2"
"TRPA1",22,"TRPA1"
"ADAMTS2",21,"ADAMTS2"
"ADCY8",21,"ADCY8"
"ADGRL2",21,"ADGRL2"
"ALK",21,"ALK"
"ASTN2",21,"ASTN2"
"ATRNL1",21,"ATRNL1"
"BOD1L1",21,"BOD1L1"
"CDH18",21,"CDH18"
"COL7A1",21,"COL7A1"
"DLGAP2",21,"DLGAP2"
"DMXL1",21,"DMXL1"
"DUSP27",21,"DUSP27"
"EPHB6",21,"EPHB6"
"GRM8",21,"GRM8"
"KIF4B",21,"KIF4B"
"LAMB4",21,"LAMB4"
"NID1",21,"NID1"
"NLRP5",21,"NLRP5"
"NTRK3",21,"NTRK3"
"OR2M3",21,"OR2M3"
"OR2W3",21,"OR2W3"
"PCDHB14",21,"PCDHB14"
"PCDHGA2",21,"PCDHGA2"
"PLXNA4",21,"PLXNA4"
"SCN3A",21,"SCN3A"
"SEMA6D",21,"SEMA6D"
"STAB2",21,"STAB2"
"TMEM132D",21,"TMEM132D"
"UBR4",21,"UBR4"
"WDFY3",21,"WDFY3"
"ADAMTS16",20,"ADAMTS16"
"ADGRL4",20,"ADGRL4"
"AKAP6",20,"AKAP6"
"ALMS1",20,"ALMS1"
"BRWD3",20,"BRWD3"
"CACNA1C",20,"CACNA1C"
"CACNA2D1",20,"CACNA2D1"
"CFAP47",20,"CFAP47"
"CNTN3",20,"CNTN3"
"DIDO1",20,"DIDO1"
"DPP6",20,"DPP6"
"EPHA6",20,"EPHA6"
"FER1L6",20,"FER1L6"
"FRMPD4",20,"FRMPD4"
"FSTL5",20,"FSTL5"
"GRIK2",20,"GRIK2"
"KLHL4",20,"KLHL4"
"LAMA4",20,"LAMA4"
"LRFN5",20,"LRFN5"
"MUC5AC",20,"MUC5AC"
"PCDHA2",20,"PCDHA2"
"PIK3CA",20,"PIK3CA"
"PLCB4",20,"PLCB4"
"SACS",20,"SACS"
"SIPA1L2",20,"SIPA1L2"
"TMPRSS15",20,"TMPRSS15"
"USP34",20,"USP34"
"ZAN",20,"ZAN"
"ZEB2",20,"ZEB2"
"ZIC1",20,"ZIC1"
"ABCB1",19,"ABCB1"
"ABCB11",19,"ABCB11"
"ACAN",19,"ACAN"
"ASH1L",19,"ASH1L"
"ATRX",19,"ATRX"
"BCHE",19,"BCHE"
"CDH6",19,"CDH6"
"CFH",19,"CFH"
"CHD5",19,"CHD5"
"DCAF4L2",19,"DCAF4L2"
"DSG3",19,"DSG3"
"FCGBP",19,"FCGBP"
"FRMPD1",19,"FRMPD1"
"ICE1",19,"ICE1"
"ITPR2",19,"ITPR2"
"KCNB2",19,"KCNB2"
"KIAA1210",19,"KIAA1210"
"L1CAM",19,"L1CAM"
"MAGEC1",19,"MAGEC1"
"MKI67",19,"MKI67"
"MMP16",19,"MMP16"
"MYO3A",19,"MYO3A"
"OGDHL",19,"OGDHL"
"OR51V1",19,"OR51V1"
"PCDHB7",19,"PCDHB7"
"PCDHGA3",19,"PCDHGA3"
"PKD1L2",19,"PKD1L2"
"RBP3",19,"RBP3"
"RP1",19,"RP1"
"SLITRK4",19,"SLITRK4"
"TMTC1",19,"TMTC1"
"TPO",19,"TPO"
"TRO",19,"TRO"
"ZNF208",19,"ZNF208"
"ABCA12",18,"ABCA12"
"ACACB",18,"ACACB"
"ACTN2",18,"ACTN2"
"ADAMTS5",18,"ADAMTS5"
"AMER1",18,"AMER1"
"BDP1",18,"BDP1"
"CACNA1A",18,"CACNA1A"
"CCDC178",18,"CCDC178"
"CHD6",18,"CHD6"
"CMYA5",18,"CMYA5"
"COL5A1",18,"COL5A1"
"DCC",18,"DCC"
"DLC1",18,"DLC1"
"DYNC2H1",18,"DYNC2H1"
"FANCM",18,"FANCM"
"FBXL7",18,"FBXL7"
"FCRL2",18,"FCRL2"
"FSCB",18,"FSCB"
"GRM1",18,"GRM1"
"HGF",18,"HGF"
"HUWE1",18,"HUWE1"
"IGSF1",18,"IGSF1"
"IL1RAPL1",18,"IL1RAPL1"
"KCNH8",18,"KCNH8"
"KCNU1",18,"KCNU1"
"KIAA1211",18,"KIAA1211"
"LAMB1",18,"LAMB1"
"LRP1",18,"LRP1"
"LRRIQ3",18,"LRRIQ3"
"NDST4",18,"NDST4"
"NLRP7",18,"NLRP7"
"OR4C16",18,"OR4C16"
"OR4C6",18,"OR4C6"
"OR5F1",18,"OR5F1"
"OR5L1",18,"OR5L1"
"OVCH1",18,"OVCH1"
"PCDH18",18,"PCDH18"
"PCDHB12",18,"PCDHB12"
"PPP1R3A",18,"PPP1R3A"
"PTCHD2",18,"PTCHD2"
"PTPRN2",18,"PTPRN2"
"SATB2",18,"SATB2"
"SDK1",18,"SDK1"
"SLITRK5",18,"SLITRK5"
"SPAG17",18,"SPAG17"
"TRIM58",18,"TRIM58"
"TRRAP",18,"TRRAP"
"UBR5",18,"UBR5"
"USP29",18,"USP29"
"VPS13C",18,"VPS13C"
"WDR49",18,"WDR49"
"ZEB1",18,"ZEB1"
"ZSWIM2",18,"ZSWIM2"
"AGMO",17,"AGMO"
"ANO4",17,"ANO4"
"ARID2",17,"ARID2"
"CACNA1B",17,"CACNA1B"
"CAD",17,"CAD"
"CLCA4",17,"CLCA4"
"COL21A1",17,"COL21A1"
"COL24A1",17,"COL24A1"
"COL4A1",17,"COL4A1"
"CPED1",17,"CPED1"
"CUX2",17,"CUX2"
"DCHS2",17,"DCHS2"
"DGKB",17,"DGKB"
"DOPEY2",17,"DOPEY2"
"EPHA7",17,"EPHA7"
"FZD10",17,"FZD10"
"IGHV1OR21-1",17,"IGHV1OR21-1"
"ITIH6",17,"ITIH6"
"KCNC2",17,"KCNC2"
"KIAA2022",17,"KIAA2022"
"KMT2A",17,"KMT2A"
"KPRP",17,"KPRP"
"LCT",17,"LCT"
"MYO7B",17,"MYO7B"
"MYPN",17,"MYPN"
"NAV2",17,"NAV2"
"NLGN1",17,"NLGN1"
"OR11H1",17,"OR11H1"
"OR14A16",17,"OR14A16"
"OR2G6",17,"OR2G6"
"OR2L8",17,"OR2L8"
"OR4Q3",17,"OR4Q3"
"PDGFRA",17,"PDGFRA"
"RAD51AP2",17,"RAD51AP2"
"REG3A",17,"REG3A"
"RGS7",17,"RGS7"
"ROCK1",17,"ROCK1"
"SCN7A",17,"SCN7A"
"SGIP1",17,"SGIP1"
"SLC6A15",17,"SLC6A15"
"SLIT3",17,"SLIT3"
"SPATA31A3",17,"SPATA31A3"
"SPEG",17,"SPEG"
"SRCAP",17,"SRCAP"
"ST6GAL2",17,"ST6GAL2"
"TLN2",17,"TLN2"
"TPR",17,"TPR"
"VPS13D",17,"VPS13D"
"ZFYVE26",17,"ZFYVE26"
"ZNF423",17,"ZNF423"
"ADAMTS19",16,"ADAMTS19"
"ARAP2",16,"ARAP2"
"ATP2B3",16,"ATP2B3"
"ATP7A",16,"ATP7A"
"BCORL1",16,"BCORL1"
"BMS1",16,"BMS1"
"C7",16,"C7"
"CACNA1F",16,"CACNA1F"
"CD163",16,"CD163"
"CHD8",16,"CHD8"
"CHRM2",16,"CHRM2"
"CNKSR2",16,"CNKSR2"
"CNTN1",16,"CNTN1"
"COL1A2",16,"COL1A2"
"DGKI",16,"DGKI"
"DLGAP3",16,"DLGAP3"
"DNAH2",16,"DNAH2"
"DZIP3",16,"DZIP3"
"EGFLAM",16,"EGFLAM"
"EPB41L3",16,"EPB41L3"
"EPHB1",16,"EPHB1"
"FAM71B",16,"FAM71B"
"FRG2C",16,"FRG2C"
"FSHR",16,"FSHR"
"GLI2",16,"GLI2"
"HHIPL2",16,"HHIPL2"
"KCNH5",16,"KCNH5"
"KCNK2",16,"KCNK2"
"KIAA1755",16,"KIAA1755"
"MAGEL2",16,"MAGEL2"
"MAGI2",16,"MAGI2"
"MEGF10",16,"MEGF10"
"MYH11",16,"MYH11"
"MYOM2",16,"MYOM2"
"NBEA",16,"NBEA"
"NES",16,"NES"
"NID2",16,"NID2"
"NOS1",16,"NOS1"
"OR2T4",16,"OR2T4"
"OR4C46",16,"OR4C46"
"OR5D16",16,"OR5D16"
"PAK7",16,"PAK7"
"PARD3B",16,"PARD3B"
"PCDHA5",16,"PCDHA5"
"PCDHA6",16,"PCDHA6"
"PCDHB3",16,"PCDHB3"
"PCDHB5",16,"PCDHB5"
"PCDHB9",16,"PCDHB9"
"PCDHGA5",16,"PCDHGA5"
"PDZRN3",16,"PDZRN3"
"PKD1",16,"PKD1"
"PKP2",16,"PKP2"
"POLQ",16,"POLQ"
"POTEF",16,"POTEF"
"PREX2",16,"PREX2"
"PTPRC",16,"PTPRC"
"RANBP2",16,"RANBP2"
"SCN4A",16,"SCN4A"
"SLC9A4",16,"SLC9A4"
"SLCO5A1",16,"SLCO5A1"
"SORL1",16,"SORL1"
"SPTBN5",16,"SPTBN5"
"ST18",16,"ST18"
"SZT2",16,"SZT2"
"TECTA",16,"TECTA"
"TENM4",16,"TENM4"
"TMEM200A",16,"TMEM200A"
"TRPC4",16,"TRPC4"
"VCAM1",16,"VCAM1"
"XYLT1",16,"XYLT1"
"ZNF99",16,"ZNF99"
"A2ML1",15,"A2ML1"
"ADAM19",15,"ADAM19"
"AGBL1",15,"AGBL1"
"AKAP9",15,"AKAP9"
"ATP10B",15,"ATP10B"
"ATP7B",15,"ATP7B"
"ATP8A2",15,"ATP8A2"
"BRINP2",15,"BRINP2"
"C6orf118",15,"C6orf118"
"CACNA1I",15,"CACNA1I"
"CASS4",15,"CASS4"
"CCDC129",15,"CCDC129"
"CEP350",15,"CEP350"
"CFAP54",15,"CFAP54"
"CFAP61",15,"CFAP61"
"COL4A6",15,"COL4A6"
"COL9A1",15,"COL9A1"
"DCHS1",15,"DCHS1"
"DNAH17",15,"DNAH17"
"DYSF",15,"DYSF"
"F5",15,"F5"
"FLNA",15,"FLNA"
"FOLH1",15,"FOLH1"
"FREM2",15,"FREM2"
"GABRB3",15,"GABRB3"
"GABRG2",15,"GABRG2"
"GFRAL",15,"GFRAL"
"GLI3",15,"GLI3"
"GRID1",15,"GRID1"
"GRIN3A",15,"GRIN3A"
"GUCY2F",15,"GUCY2F"
"HECW2",15,"HECW2"
"HIVEP2",15,"HIVEP2"
"IGSF10",15,"IGSF10"
"INSRR",15,"INSRR"
"IQGAP2",15,"IQGAP2"
"ITGAD",15,"ITGAD"
"ITIH5",15,"ITIH5"
"KCNA4",15,"KCNA4"
"KIAA1551",15,"KIAA1551"
"KIF21B",15,"KIF21B"
"LEPR",15,"LEPR"
"LTBP2",15,"LTBP2"
"MROH9",15,"MROH9"
"MYCBP2",15,"MYCBP2"
"MYO9A",15,"MYO9A"
"NLRP10",15,"NLRP10"
"NLRP12",15,"NLRP12"
"OR10X1",15,"OR10X1"
"OR2L13",15,"OR2L13"
"OR2L2",15,"OR2L2"
"OR2M4",15,"OR2M4"
"OR2M5",15,"OR2M5"
"OR2T11",15,"OR2T11"
"OR2T3",15,"OR2T3"
"OR5AS1",15,"OR5AS1"
"OR5D13",15,"OR5D13"
"OR5L2",15,"OR5L2"
"OR5T2",15,"OR5T2"
"OR6F1",15,"OR6F1"
"PAPPA",15,"PAPPA"
"PCDHA1",15,"PCDHA1"
"PCDHB11",15,"PCDHB11"
"PCDHB2",15,"PCDHB2"
"PCDHB6",15,"PCDHB6"
"PCDHGA6",15,"PCDHGA6"
"PCDHGB2",15,"PCDHGB2"
"POF1B",15,"POF1B"
"POM121L12",15,"POM121L12"
"POTEH",15,"POTEH"
"RIMBP2",15,"RIMBP2"
"SAMD9",15,"SAMD9"
"SAMD9L",15,"SAMD9L"
"SHANK1",15,"SHANK1"
"SLC44A5",15,"SLC44A5"
"SYT10",15,"SYT10"
"THBS2",15,"THBS2"
"THOC2",15,"THOC2"
"TRIM51",15,"TRIM51"
"TRPM1",15,"TRPM1"
"TRPV5",15,"TRPV5"
"TYR",15,"TYR"
"ZBBX",15,"ZBBX"
"ZBED9",15,"ZBED9"
"ZCCHC5",15,"ZCCHC5"
"ZIC4",15,"ZIC4"
"ZNF735",15,"ZNF735"
"ACSM2B",14,"ACSM2B"
"ADAM2",14,"ADAM2"
"ADAMTS14",14,"ADAMTS14"
"ADAMTS18",14,"ADAMTS18"
"ADCY1",14,"ADCY1"
"ADCY10",14,"ADCY10"
"ALPK2",14,"ALPK2"
"AMER3",14,"AMER3"
"ARMC3",14,"ARMC3"
"BMPER",14,"BMPER"
"BNC2",14,"BNC2"
"CAMTA1",14,"CAMTA1"
"CARD11",14,"CARD11"
"CCKBR",14,"CCKBR"
"CD163L1",14,"CD163L1"
"CD1E",14,"CD1E"
"CDKN2A",14,"CDKN2A"
"CEP128",14,"CEP128"
"CHD7",14,"CHD7"
"CMTR2",14,"CMTR2"
"CTNNA3",14,"CTNNA3"
"CYP11B1",14,"CYP11B1"
"DAB1",14,"DAB1"
"DENND2A",14,"DENND2A"
"DNAH1",14,"DNAH1"
"DPP10",14,"DPP10"
"EXPH5",14,"EXPH5"
"FHOD3",14,"FHOD3"
"FNDC1",14,"FNDC1"
"GABRA4",14,"GABRA4"
"GABRG1",14,"GABRG1"
"GABRG3",14,"GABRG3"
"GALNT13",14,"GALNT13"
"GALNT8",14,"GALNT8"
"GDF10",14,"GDF10"
"GOLGB1",14,"GOLGB1"
"GTF3C1",14,"GTF3C1"
"GUCY1A2",14,"GUCY1A2"
"HERC1",14,"HERC1"
"HFM1",14,"HFM1"
"HTR1A",14,"HTR1A"
"ITGA4",14,"ITGA4"
"KCNB1",14,"KCNB1"
"KCTD8",14,"KCTD8"
"KEL",14,"KEL"
"KIAA1549L",14,"KIAA1549L"
"KIF19",14,"KIF19"
"KIF5A",14,"KIF5A"
"LRFN2",14,"LRFN2"
"MAGEC2",14,"MAGEC2"
"MAP1A",14,"MAP1A"
"MBD5",14,"MBD5"
"MED13",14,"MED13"
"MTUS2",14,"MTUS2"
"MYH15",14,"MYH15"
"NCOA2",14,"NCOA2"
"NELL2",14,"NELL2"
"NIPBL",14,"NIPBL"
"NLRP13",14,"NLRP13"
"NLRP14",14,"NLRP14"
"NLRP2",14,"NLRP2"
"NPHS1",14,"NPHS1"
"OCA2",14,"OCA2"
"OR2T1",14,"OR2T1"
"OR4A16",14,"OR4A16"
"OR4C15",14,"OR4C15"
"OR4K2",14,"OR4K2"
"OR6K2",14,"OR6K2"
"OR8U1",14,"OR8U1"
"PASD1",14,"PASD1"
"PCDHB16",14,"PCDHB16"
"PCDHGA4",14,"PCDHGA4"
"PCDHGB3",14,"PCDHGB3"
"PCNT",14,"PCNT"
"PCNX",14,"PCNX"
"PHLDB2",14,"PHLDB2"
"PRKD1",14,"PRKD1"
"PTPRK",14,"PTPRK"
"PYHIN1",14,"PYHIN1"
"PZP",14,"PZP"
"RB1",14,"RB1"
"ROBO1",14,"ROBO1"
"RP11-407N17.3",14,"RP11-407N17.3"
"RUNX1T1",14,"RUNX1T1"
"SAGE1",14,"SAGE1"
"SEMA3D",14,"SEMA3D"
"SLC14A2",14,"SLC14A2"
"SLC17A6",14,"SLC17A6"
"SYNPO2",14,"SYNPO2"
"TCHH",14,"TCHH"
"TIMD4",14,"TIMD4"
"TLL1",14,"TLL1"
"TRPC5",14,"TRPC5"
"TRPM6",14,"TRPM6"
"UGT2B11",14,"UGT2B11"
"WDR78",14,"WDR78"
"YLPM1",14,"YLPM1"
"ZNF676",14,"ZNF676"
"ABCA10",13,"ABCA10"
"ABCA2",13,"ABCA2"
"ABCA6",13,"ABCA6"
"ABCC9",13,"ABCC9"
"ACSM5",13,"ACSM5"
"ADAD1",13,"ADAD1"
"ADAM23",13,"ADAM23"
"AGRN",13,"AGRN"
"ANKRD17",13,"ANKRD17"
"ANKRD30B",13,"ANKRD30B"
"APC",13,"APC"
"ARID1A",13,"ARID1A"
"ARID1B",13,"ARID1B"
"ATP10D",13,"ATP10D"
"CACNA2D4",13,"CACNA2D4"
"CALCR",13,"CALCR"
"CAPN6",13,"CAPN6"
"CASR",13,"CASR"
"CCDC108",13,"CCDC108"
"CES5A",13,"CES5A"
"CHM",13,"CHM"
"CHRDL1",13,"CHRDL1"
"CLCA2",13,"CLCA2"
"COL20A1",13,"COL20A1"
"COL25A1",13,"COL25A1"
"CR1",13,"CR1"
"CSPG4",13,"CSPG4"
"DCAF8L2",13,"DCAF8L2"
"DCLK3",13,"DCLK3"
"DDX60L",13,"DDX60L"
"DGKK",13,"DGKK"
"DOCK4",13,"DOCK4"
"DRD5",13,"DRD5"
"DSG1",13,"DSG1"
"DYNC1H1",13,"DYNC1H1"
"EPRS",13,"EPRS"
"FAM171A1",13,"FAM171A1"
"GABRQ",13,"GABRQ"
"GOLGA3",13,"GOLGA3"
"GREB1",13,"GREB1"
"GRIK1",13,"GRIK1"
"IGSF9B",13,"IGSF9B"
"IL16",13,"IL16"
"ITPR1",13,"ITPR1"
"KANSL1",13,"KANSL1"
"KCNH1",13,"KCNH1"
"KCNH7",13,"KCNH7"
"KCNJ3",13,"KCNJ3"
"KCNQ2",13,"KCNQ2"
"KIAA0100",13,"KIAA0100"
"LAMC1",13,"LAMC1"
"LGR5",13,"LGR5"
"LRRC32",13,"LRRC32"
"LRRC66",13,"LRRC66"
"MDN1",13,"MDN1"
"MGAT5B",13,"MGAT5B"
"MORC1",13,"MORC1"
"NCAPD3",13,"NCAPD3"
"NFASC",13,"NFASC"
"NTNG1",13,"NTNG1"
"NUP210",13,"NUP210"
"OR10J3",13,"OR10J3"
"OR2D3",13,"OR2D3"
"OR2G2",13,"OR2G2"
"OR2T12",13,"OR2T12"
"OR2T34",13,"OR2T34"
"OR2T6",13,"OR2T6"
"OR5T1",13,"OR5T1"
"OR5T3",13,"OR5T3"
"OR6N2",13,"OR6N2"
"OR8K1",13,"OR8K1"
"OR8K5",13,"OR8K5"
"PCDH8",13,"PCDH8"
"PCDHA11",13,"PCDHA11"
"PCDHA3",13,"PCDHA3"
"PCDHA9",13,"PCDHA9"
"PCDHB10",13,"PCDHB10"
"PDE10A",13,"PDE10A"
"PIK3AP1",13,"PIK3AP1"
"PIK3R4",13,"PIK3R4"
"PLXNB2",13,"PLXNB2"
"POLE",13,"POLE"
"POSTN",13,"POSTN"
"POTEC",13,"POTEC"
"PRKCB",13,"PRKCB"
"PROS1",13,"PROS1"
"PRRC2B",13,"PRRC2B"
"PTCHD4",13,"PTCHD4"
"REV3L",13,"REV3L"
"RFX6",13,"RFX6"
"RGPD3",13,"RGPD3"
"RGS22",13,"RGS22"
"ROR2",13,"ROR2"
"RTN1",13,"RTN1"
"RXFP1",13,"RXFP1"
"SALL3",13,"SALL3"
"SALL4",13,"SALL4"
"SCN2A",13,"SCN2A"
"SCN8A",13,"SCN8A"
"SLC12A5",13,"SLC12A5"
"SLC9C2",13,"SLC9C2"
"SLITRK6",13,"SLITRK6"
"SMARCA2",13,"SMARCA2"
"STAG2",13,"STAG2"
"TACC2",13,"TACC2"
"TAS2R1",13,"TAS2R1"
"TCHHL1",13,"TCHHL1"
"TECRL",13,"TECRL"
"TRHDE",13,"TRHDE"
"TRIML1",13,"TRIML1"
"TRIO",13,"TRIO"
