,logFC,AveExpr,t,P.Value,adj.P.Val,B
NUSAP1,-2.33206182470342,4.73281065732973,-31.0388090889815,2.02148211065838e-95,7.43752852034686e-93,207.282371129522
RRM2,-2.77150085949502,4.58283664358797,-30.9264047005202,4.61994302319325e-95,1.66831275837534e-92,206.458174251556
KIFC1,-2.60942339473711,4.17537179427887,-30.9067236815818,5.34022140126717e-95,1.89335122408563e-92,206.313700449461
CDC45,-2.44467411383009,3.20955568868048,-30.8598594522965,7.54179735896065e-95,2.62616158035237e-92,205.969483977482
TROAP,-2.60777408788041,3.08642334195062,-30.839549078474,8.75958541344352e-95,2.99670027302015e-92,205.820218638064
ARHGAP11A,-2.17478313754116,3.03603775197705,-30.6924652521546,2.59378782660999e-94,8.72049355498186e-92,204.737711621238
RACGAP1,-2.07585909256351,4.45561237109093,-30.6407824624711,3.80079288497465e-94,1.25619425859332e-91,204.356687364577
ASPM,-2.38535443645174,2.46728795673366,-30.5811051392529,5.91103289863733e-94,1.92108569205713e-91,203.916304240816
SPC25,-2.07464373930878,2.92944973959659,-30.4763988651212,1.28420498664643e-93,4.10524544911562e-91,203.142545536003
NCAPG2,-1.97977063657204,3.66073091791322,-30.404751293458,2.18553936669718e-93,6.87387381461211e-91,202.612284705326
POLQ,-1.77615549340104,1.49213373999465,-30.2689605031159,5.99775089980419e-93,1.85644670708225e-90,201.605519855912
CENPE,-2.05690847483064,2.12432345450118,-30.1267929080415,1.73015534634395e-92,5.27156707089173e-90,200.548975466522
CDCA3,-2.07504272710311,2.56173723048621,-30.0854939982859,2.35476412629312e-92,7.06429237887935e-90,200.241575406087
PLK1,-2.38076029113035,3.8128116400188,-30.0782987162208,2.4847289926444e-92,7.34124475099482e-90,200.187996691291
NUF2,-2.52144222162537,3.18896105715101,-29.9551247702404,6.23913573348846e-92,1.81586786273172e-89,199.269781490894
ZWINT,-2.28761388147993,5.04883549891456,-29.9378326622286,7.10107508491433e-92,2.03633770817396e-89,199.140721568709
SKA1,-2.31335892586758,2.48868600930039,-29.935814572888,7.20914890674029e-92,2.03736816929617e-89,199.125657059449
CDCA2,-2.098486160815,2.27632731589774,-29.901570908315,9.31597850796483e-92,2.59516544150449e-89,198.869958432676
KNL1,-1.82826782023578,1.9279040276708,-29.8843833837513,1.05959145295561e-91,2.91014553980767e-89,198.74156262114
STIL,-1.81784047150708,2.555974855942,-29.8668304831481,1.20851933941319e-91,3.27307321091072e-89,198.610398733207
XRCC2,-1.97105398625569,2.14250976919844,-29.8465230915285,1.40718938584243e-91,3.75893055122293e-89,198.458603255061
