"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274"
"1",1,0,0.0185185185185185,0,0.00317460317460317,1,0,0,0,0,1,1,0.583596214511041,1,1,1,0,0,0.731707317073171,0,1,0.599388379204893,0.601246105919003,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.677811550151976,1,1,0,0,1,1,0.962962962962963,0.523219814241486,0,0,1,1,1,1,1,1,1,0,1,1,0.00314465408805031,1,0,0,0.0331325301204819,1,0,0,0,1,1,0.743119266055046,1,1,1,1,1,1,1,1,1,1,0,1,0.69047619047619,1,1,1,1,1,0.360248447204969,0,0.908517350157729,1,0,0.742857142857143,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0.974603174603175,1,0,1,1,1,0.0127388535031847,0.923780487804878,1,1,0,1,0.662538699690402,0.403785488958991,1,1,0.914373088685015,0.8328173374613,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.0288461538461538,1,0,1,0.0518292682926829,0,0,0,0.245954692556634,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0.00308641975308642,1,1,1,1,0,1,0.905487804878049,0,1,0.026865671641791,0,0,0.180685358255452,0,0,0,0.0878787878787879,0,0,0,0,0,0.0282131661442006,0,0,0,0,0,0,0,0,0,0,0,0,0.365625,0,0,0,0,0.834890965732087,1,0.647619047619048,0.564784053156146,0,0,0,0.0462962962962963,0.00318471337579618,0,0,0,0,0,0,0,0.584615384615385,0,0,0.993993993993994,0,0,0,0,0.0484848484848485,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0.996913580246914,0,1
"2",0,1,0.974193548387097,1,0.996699669966997,0,1,1,1,1,0,0,0.474522292993631,0,0,0,1,1,0.275316455696203,1,0,0.367601246105919,0.37741935483871,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1,1,0,0,0.0314465408805031,0.512738853503185,1,1,0,0,0,0,0,0,0,1,0,0,0.996677740863787,0,1,1,0.974921630094044,0,1,1,1,0,0,0.248466257668712,0,0,0,0,0,0,0,0,0,0,1,0,0.28125,0,0,0,0,0,0.669934640522876,1,0.0865384615384615,0,1,0.257328990228013,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0.0162866449511401,0,1,0,0,0,0.986798679867987,0.0771604938271605,0,0,1,0,0.325732899022801,0.589171974522293,0,0,0.0825396825396825,0.143790849673203,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.980263157894737,0,1,0,0.970873786407767,1,1,1,0.752508361204013,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.996805111821086,0,0,0,0,1,0,0.09375,1,0,0.971875,1,1,0.831683168316832,1,1,1,0.925465838509317,1,1,1,1,1,0.983660130718954,1,1,1,1,1,1,1,1,1,1,1,1,0.657980456026059,1,1,1,1,0.171339563862928,0,0.337662337662338,0.402061855670103,1,1,1,0.961038961038961,0.99344262295082,1,1,1,1,1,1,1,0.389937106918239,1,1,0.00628930817610063,1,1,1,1,0.968454258675079,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0.00666666666666667,1,0
"3",0.0185185185185185,0.974193548387097,1,0.984126984126984,0.980707395498392,0.0264026402640264,0.987179487179487,0.974603174603175,0.981481481481482,0.975535168195719,0.0153374233128834,0.0246913580246914,0.44794952681388,0.0132013201320132,0.018348623853211,0.0123839009287926,0.976973684210526,0.983606557377049,0.276073619631902,0.981651376146789,0.0223642172523962,0.386018237082067,0.401929260450161,0.98125,0.977124183006536,0.0156739811912226,0.0159235668789809,0.980830670926518,0.0217391304347826,0.0163934426229508,0.018348623853211,0.986486486486487,0.0157232704402516,0.00623052959501558,0.0189873417721519,0.0262295081967213,0.0228013029315961,0.0251572327044025,0.024024024024024,0.0191693290734824,0.0186915887850467,0.019047619047619,0.329192546583851,0.0132013201320132,0.018348623853211,0.978851963746224,0.978193146417445,0.0122699386503067,0.0185185185185185,0.0559006211180124,0.466463414634146,0.980645161290323,0.975460122699387,0.0164473684210526,0.0182370820668693,0.021671826625387,0.0215384615384615,0.0192926045016077,0.0252365930599369,0.021671826625387,0.974842767295597,0.0254777070063694,0.0181818181818182,0.970779220779221,0.0150602409638554,0.981366459627329,0.979289940828402,0.950617283950617,0.0158227848101266,0.984472049689441,0.981308411214953,0.977987421383648,0.025,0.0222929936305732,0.270186335403727,0.0156739811912226,0.0226537216828479,0.0221518987341772,0.0188087774294671,0.0196078431372549,0.0188087774294671,0.0133779264214047,0.0220125786163522,0.0154798761609907,0.0184615384615385,0.981012658227848,0.0215384615384615,0.329268292682927,0.0167224080267559,0.0192926045016077,0.0189873417721519,0.0194174757281553,0.0124223602484472,0.654088050314465,0.981707317073171,0.0996784565916399,0.0222222222222222,0.978593272171254,0.249201277955272,0.0123076923076923,0.0223642172523962,0.0186335403726708,0.98159509202454,0.9875,0.975609756097561,0.0256410256410256,0.975077881619938,0.981191222570533,0.0219435736677116,0.0220125786163522,0.975683890577508,0.0216049382716049,0.0189873417721519,0.0225806451612903,0.0163398692810458,0.025974025974026,0.046875,0.0222929936305732,0.97910447761194,0.025,0.0194805194805195,0.0257234726688103,0.964968152866242,0.0841121495327103,0.0249221183800623,0.0247678018575851,0.979166666666667,0.0216049382716049,0.32475884244373,0.580645161290323,0.0156739811912226,0.0195439739413681,0.106583072100313,0.155115511551155,0.984025559105431,0.978978978978979,0.981308411214953,0.0164473684210526,0.981818181818182,0.980519480519481,0.986348122866894,0.0222222222222222,0.977564102564103,0.977917981072555,0.98159509202454,0.99375,0.0212765957446809,0.0181818181818182,0.0186915887850467,0.0193548387096774,0.0233333333333333,0.0189274447949527,0.0179640718562874,0.0188679245283019,0.0222222222222222,0.966216216216216,0.0227272727272727,0.975683890577508,0.0189274447949527,0.929447852760736,0.974683544303797,0.981538461538462,0.975757575757576,0.769736842105263,0.978395061728395,0.97741935483871,0.976973684210526,0.0184615384615385,0.975,0.977777777777778,0.983818770226537,0.980769230769231,0.978125,0.981481481481482,0.0246913580246914,0.0221518987341772,0.0186335403726708,0.0158227848101266,0.0247678018575851,0.0207715133531157,0.978260869565217,0.0217391304347826,0.012779552715655,0.0188679245283019,0.0221518987341772,0.021021021021021,0.980645161290323,0.0188087774294671,0.0188679245283019,0.0127388535031847,0.0248447204968944,0.979933110367893,0.0253968253968254,0.0807453416149068,0.984025559105431,0.0250783699059561,0.957317073170732,0.981762917933131,0.978328173374613,0.800623052959502,0.98125,0.977848101265823,0.983870967741935,0.897832817337461,0.975232198142415,0.978260869565217,0.978787878787879,0.977635782747604,0.97583081570997,0.955555555555556,0.977198697068404,0.980582524271845,0.980327868852459,0.983974358974359,0.984177215189873,0.984126984126984,0.980952380952381,0.978395061728395,0.981818181818182,0.98371335504886,0.978328173374613,0.981707317073171,0.639240506329114,0.974921630094044,0.9875,0.98125,0.980519480519481,0.201238390092879,0.0123456790123457,0.337620578778135,0.420689655172414,0.975460122699387,0.975077881619938,0.981012658227848,0.93312101910828,0.987261146496815,0.976973684210526,0.980645161290323,0.978260869565217,0.981651376146789,0.984520123839009,0.975155279503106,0.974603174603175,0.403785488958991,0.981707317073171,0.984025559105431,0.0217391304347826,0.975535168195719,0.978787878787879,0.977491961414791,0.986970684039088,0.929878048780488,0.0191693290734824,0.0157728706624606,0.0158227848101266,0.98019801980198,0.974358974358974,0.981132075471698,0.986798679867987,0.981072555205047,0.025,0.978593272171254,0.978193146417445,0.0222222222222222,0.0186335403726708,0.00940438871473354,0.978056426332288,0.975757575757576,0.97427652733119,0.977777777777778,0.977777777777778,0.0194174757281553,0.981762917933131,0.0220125786163522
"4",0,1,0.984126984126984,1,0.99685534591195,0,1,1,1,1,0,0,0.43312101910828,0,0,0,1,1,0.29483282674772,1,0,0.404833836858006,0.421383647798742,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.35,0,0,1,1,0,0,0.0422960725075529,0.46583850931677,1,1,0,0,0,0,0,0,0,1,0,0,0.996845425867508,0,1,1,0.969230769230769,0,1,1,1,0,0,0.278637770897833,0,0,0,0,0,0,0,0,0,0,1,0,0.332335329341317,0,0,0,0,0,0.649842271293375,1,0.0822784810126582,0,1,0.266025641025641,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0.0225806451612903,0,1,0,0,0,0.990595611285266,0.0783699059561129,0,0,1,0,0.33968253968254,0.583596214511041,0,0,0.0861538461538462,0.161490683229814,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.977049180327869,0,1,0,0.952978056426332,1,1,1,0.744408945686901,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.996805111821086,0,0,0,0,1,0,0.0917431192660551,1,0,0.973293768545994,1,1,0.804347826086957,1,1,1,0.907120743034056,1,1,1,1,1,0.978056426332288,1,1,1,1,1,1,1,1,1,1,1,1,0.62379421221865,1,1,1,1,0.204334365325077,0,0.369905956112853,0.433898305084746,1,1,1,0.949367088607595,0.996865203761755,1,1,1,1,1,1,1,0.427272727272727,1,1,0.00626959247648903,1,1,1,1,0.953846153846154,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0.003125,1,0
"5",0.00317460317460317,0.996699669966997,0.980707395498392,0.99685534591195,1,0.00324675324675325,0.996753246753247,0.996784565916399,0.996815286624204,0.996913580246914,0.00319488817891374,0,0.421052631578947,0.00332225913621262,0.00311526479750779,0.00313479623824451,1,0.99672131147541,0.304347826086957,0.996951219512195,0.0032258064516129,0.424050632911392,0.44408945686901,0.996825396825397,0.996774193548387,0.00316455696202532,0,1,0.0032258064516129,0.00337837837837838,0.00314465408805031,1,0,0,0.003125,0.00320512820512821,0.00325732899022801,0.00324675324675325,0,0.00313479623824451,0.00317460317460317,0.00323624595469256,0.361022364217252,0,0.00307692307692308,0.99685534591195,0.996794871794872,0.00309597523219814,0.00314465408805031,0.0404984423676012,0.449044585987261,1,0.996835443037975,0.00335570469798658,0,0,0.00311526479750779,0,0.00321543408360129,0.0031055900621118,0.996875,0.00316455696202532,0.003125,1,0,0.996865203761755,0.996978851963746,0.958466453674121,0.00321543408360129,0.996845425867508,1,0.996794871794872,0.00318471337579618,0.00326797385620915,0.292452830188679,0,0.00336700336700337,0.00326797385620915,0.00313479623824451,0.00333333333333333,0.00316455696202532,0.00340136054421769,0.00315457413249211,0.003125,0.00313479623824451,1,0.00309597523219814,0.341614906832298,0.00337837837837838,0,0.00323624595469256,0.0032258064516129,0.00320512820512821,0.674193548387097,0.99685534591195,0.0912052117263844,0,1,0.287581699346405,0.00318471337579618,0.00319488817891374,0.00319488817891374,0.996932515337423,1,0.996904024767802,0,0.996784565916399,1,0.00323624595469256,0.00315457413249211,0.996884735202492,0.00309597523219814,0,0.00337837837837838,0.00333333333333333,0,0.0327868852459016,0,0.996941896024465,0.00314465408805031,0.0032258064516129,0.00328947368421053,0.986928104575163,0.0833333333333333,0,0.00318471337579618,0.996951219512195,0.00320512820512821,0.343042071197411,0.575079872204473,0.00320512820512821,0.00332225913621262,0.0857142857142857,0.155844155844156,0.996732026143791,0.996835443037975,0.996805111821086,0.00327868852459016,0.996941896024465,0.996805111821086,1,0.00328947368421053,0.996815286624204,0.996805111821086,0.996784565916399,0.996805111821086,0.00317460317460317,0.0031055900621118,0.0032258064516129,0.0032258064516129,0.00337837837837838,0.00320512820512821,0.00308641975308642,0.00316455696202532,0.00319488817891374,0.966666666666667,0,0.996774193548387,0.0032258064516129,0.939297124600639,1,0.996805111821086,0.996875,0.725490196078431,0.996825396825397,0.996655518394649,0.996688741721854,0.00316455696202532,0.996815286624204,0.996805111821086,0.996688741721854,0.996677740863787,0.996805111821086,0.996815286624204,0,0.00316455696202532,0.00318471337579618,0.00318471337579618,0.00318471337579618,0.00304878048780488,0.996753246753247,0.00313479623824451,0,0.00334448160535117,0,0.0031055900621118,0.996732026143791,0.00325732899022801,0.00324675324675325,0.00325732899022801,0.00319488817891374,0.996621621621622,0.0033112582781457,0.086687306501548,1,0.00325732899022801,0.97239263803681,0.996913580246914,1,0.790849673202614,0.996794871794872,0.996835443037975,0.996710526315789,0.905362776025237,1,0.996794871794872,0.996894409937888,0.996894409937888,0.996978851963746,0.970588235294118,0.99672131147541,1,1,1,0.996815286624204,0.996835443037975,0.996815286624204,0.996825396825397,0.996894409937888,0.996677740863787,0.996815286624204,0.996865203761755,0.598006644518272,0.996825396825397,0.996904024767802,1,0.996666666666667,0.210862619808307,0.00309597523219814,0.379310344827586,0.458041958041958,0.996784565916399,0.996865203761755,0.996884735202492,0.941558441558442,0.990291262135922,0.99672131147541,0.996774193548387,1,0.996805111821086,0.996805111821086,1,1,0.445141065830721,0.996835443037975,0.996699669966997,0.00315457413249211,0.996835443037975,0.996951219512195,0.996732026143791,0.996753246753247,0.94620253164557,0,0.00328947368421053,0.00321543408360129,1,0.996666666666667,1,0.996621621621622,0.996784565916399,0.00319488817891374,1,0.996794871794872,0.00321543408360129,0,0.00311526479750779,0.996763754045307,0.996865203761755,0.996732026143791,0.996774193548387,0.996763754045307,0.00986842105263158,1,0.00321543408360129
"6",1,0,0.0264026402640264,0,0.00324675324675325,1,0,0,0,0,1,1,0.565359477124183,1,1,1,0,0,0.70404984423676,0,1,0.583596214511041,0.568106312292359,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.665615141955836,1,1,0,0,1,1,0.971608832807571,0.540453074433657,0,0,1,1,1,1,1,1,1,0,1,1,0.00337837837837838,1,0,0,0.0284810126582278,1,0,0,0,1,1,0.726984126984127,1,1,1,1,1,1,1,1,1,1,0,1,0.68125,1,1,1,1,1,0.345514950166113,0,0.91304347826087,1,0,0.721476510067114,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0.976897689768977,1,0,1,1,1,0.00657894736842105,0.921630094043887,1,1,0,1,0.65359477124183,0.454545454545455,1,1,0.911671924290221,0.833333333333333,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.0202702702702703,1,0,1,0.0445859872611465,0,0,0,0.27906976744186,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0.00323624595469256,1,1,1,1,0,1,0.90282131661442,0,1,0.0124610591900312,0,0,0.192307692307692,0,0,0,0.0752351097178683,0,0,0,0,0,0.0231788079470199,0,0,0,0,0,0,0,0,0,0,0,0,0.387622149837134,0,0,0,0,0.810289389067524,1,0.626198083067093,0.560975609756098,0,0,0,0.0490196078431373,0.00662251655629139,0,0,0,0,0,0,0,0.579617834394904,0,0,0.993650793650794,0,0,0,0,0.0414012738853503,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0.993485342019544,0,1
"7",0,1,0.987179487179487,1,0.996753246753247,0,1,1,1,1,0,0,0.43042071197411,0,0,0,1,1,0.271293375394322,1,0,0.38125,0.407766990291262,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.320872274143302,0,0,1,1,0,0,0.0401234567901235,0.457680250783699,1,1,0,0,0,0,0,0,0,1,0,0,0.996794871794872,0,1,1,0.968944099378882,0,1,1,1,0,0,0.271875,0,0,0,0,0,0,0,0,0,0,1,0,0.307692307692308,0,0,0,0,0,0.644444444444444,1,0.0825082508250825,0,1,0.263843648208469,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0.025974025974026,0,1,0,0,0,0.99344262295082,0.0705128205128205,0,0,1,0,0.342019543973941,0.583061889250814,0,0,0.0632911392405063,0.135761589403974,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.976973684210526,0,1,0,0.949367088607595,1,1,1,0.745874587458746,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.996732026143791,0,0,0,0,1,0,0.0778816199376947,1,0,0.978461538461538,1,1,0.808441558441558,1,1,1,0.907643312101911,1,1,1,1,1,0.974193548387097,1,1,1,1,1,1,1,1,1,1,1,1,0.638095238095238,1,1,1,1,0.188498402555911,0,0.334415584415584,0.416961130742049,1,1,1,0.948387096774194,0.996774193548387,1,1,1,1,1,1,1,0.406349206349206,1,1,0.00628930817610063,1,1,1,1,0.94888178913738,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0.00324675324675325,1,0
"8",0,1,0.974603174603175,1,0.996784565916399,0,1,1,1,1,0,0,0.435897435897436,0,0,0,1,1,0.279503105590062,1,0,0.4,0.411003236245955,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.319875776397516,0,0,1,1,0,0,0.0396341463414634,0.473354231974922,1,1,0,0,0,0,0,0,0,1,0,0,0.99685534591195,0,1,1,0.968944099378882,0,1,1,1,0,0,0.238532110091743,0,0,0,0,0,0,0,0,0,0,1,0,0.304878048780488,0,0,0,0,0,0.657232704402516,1,0.0961538461538462,0,1,0.262820512820513,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0.0253968253968254,0,1,0,0,0,0.993464052287582,0.0841121495327103,0,0,1,0,0.33125,0.577777777777778,0,0,0.0962732919254658,0.187301587301587,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.977049180327869,0,1,0,0.958990536277603,1,1,1,0.736156351791531,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.996904024767802,0,0,0,0,1,0,0.104294478527607,1,0,0.975232198142415,1,1,0.815047021943574,1,1,1,0.925233644859813,1,1,1,1,1,0.977848101265823,1,1,1,1,1,1,1,1,1,1,1,1,0.628664495114006,1,1,1,1,0.180685358255452,0,0.360248447204969,0.423611111111111,1,1,1,0.951768488745981,0.993399339933993,1,1,1,1,1,1,1,0.426332288401254,1,1,0.0060790273556231,1,1,1,1,0.963302752293578,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0.00641025641025641,1,0
"9",0,1,0.981481481481482,1,0.996815286624204,0,1,1,1,1,0,0,0.430379746835443,0,0,0,1,1,0.27639751552795,1,0,0.386503067484663,0.407523510971787,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.342507645259939,0,0,1,1,0,0,0.0365853658536585,0.470769230769231,1,1,0,0,0,0,0,0,0,1,0,0,0.996763754045307,0,1,1,0.96583850931677,0,1,1,1,0,0,0.2625,0,0,0,0,0,0,0,0,0,0,1,0,0.3202416918429,0,0,0,0,0,0.649068322981366,1,0.0791139240506329,0,1,0.25,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0.0253164556962025,0,1,0,0,0,0.993650793650794,0.0683229813664596,0,0,1,0,0.357142857142857,0.558359621451104,0,0,0.0830769230769231,0.150326797385621,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.973770491803279,0,1,0,0.950617283950617,1,1,1,0.745928338762215,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.99685534591195,0,0,0,0,1,0,0.0740740740740741,1,0,0.978461538461538,1,1,0.810725552050473,1,1,1,0.911042944785276,1,1,1,1,1,0.974842767295597,1,1,1,1,1,1,1,1,1,1,1,1,0.637540453074434,1,1,1,1,0.187898089171975,0,0.341692789968652,0.419243986254296,1,1,1,0.95253164556962,0.993670886075949,1,1,1,1,1,1,1,0.40809968847352,1,1,0.00630914826498423,1,1,1,1,0.954407294832827,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0.00636942675159236,1,0
"10",0,1,0.975535168195719,1,0.996913580246914,0,1,1,1,1,0,0,0.425076452599388,0,0,0,1,1,0.29585798816568,1,0,0.403560830860534,0.417177914110429,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.312312312312312,0,0,1,1,0,0,0.0269461077844311,0.492354740061162,1,1,0,0,0,0,0,0,0,1,0,0,0.996951219512195,0,1,1,0.970501474926254,0,1,1,1,0,0,0.256024096385542,0,0,0,0,0,0,0,0,0,0,1,0,0.298816568047337,0,0,0,0,0,0.653374233128834,1,0.110769230769231,0,1,0.26791277258567,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0.0220125786163522,0,1,0,0,0,0.990595611285266,0.0979228486646884,0,0,1,0,0.326086956521739,0.598784194528875,0,0,0.0823170731707317,0.188679245283019,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.97427652733119,0,1,0,0.951515151515152,1,1,1,0.742236024844721,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.996904024767802,0,0,0,0,1,0,0.118694362017804,1,0,0.982558139534884,1,1,0.84,1,1,1,0.909365558912387,1,1,1,1,1,0.978125,1,1,1,1,1,1,1,1,1,1,1,1,0.630434782608696,1,1,1,1,0.161094224924012,0,0.366153846153846,0.432786885245902,1,1,1,0.966153846153846,0.993846153846154,1,1,1,1,1,1,1,0.415902140672783,1,1,0.00598802395209581,1,1,1,1,0.955357142857143,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0.00626959247648903,1,0
