"GSM475656",1
"GSM475679",2
"GSM475681",3
"GSM475683",3
"GSM475685",3
"GSM475687",3
"GSM475689",3
"GSM475691",4
"GSM475692",5
"GSM475694",6
"GSM475696",2
"GSM475698",7
"GSM475700",3
"GSM475701",8
"GSM475703",9
"GSM475706",3
"GSM475708",2
"GSM475709",7
"GSM475710",3
"GSM475712",5
"GSM475713",6
"GSM475715",10
"GSM475717",8
"GSM475719",4
"GSM475720",9
"GSM475722",4
"GSM475724",5
"GSM475727",1
"GSM475728",8
"GSM475730",5
"GSM475731",9
"GSM475733",1
"GSM475735",2
"GSM475737",5
"GSM475739",6
"GSM475741",5
"GSM475744",6
"GSM475747",2
"GSM475748",8
"GSM475751",10
"GSM475753",4
"GSM475756",2
"GSM475758",4
"GSM475759",5
"GSM475760",10
"GSM475761",2
"GSM475762",8
"GSM475763",6
"GSM475765",5
"GSM475768",10
"GSM475769",9
"GSM475770",2
"GSM475772",7
"GSM475773",10
"GSM475774",9
"GSM475776",3
"GSM475777",1
"GSM475778",2
"GSM475779",2
"GSM475780",3
"GSM475782",6
"GSM475784",3
"GSM475785",3
"GSM475787",10
"GSM475788",3
"GSM475789",9
"GSM475791",6
"GSM475792",5
"GSM475793",4
"GSM475794",8
"GSM475795",2
"GSM475796",3
"GSM475797",2
"GSM475799",3
"GSM475801",7
"GSM475802",10
"GSM475803",6
"GSM475804",1
"GSM475805",1
"GSM475806",6
"GSM475808",7
"GSM475810",2
