"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82"
"1",1,0,0,0.0348101265822785,0,0,0,0.529032258064516,1,0.993630573248408,0,0,0.025974025974026,0.941935483870968,1,0,0,0,0,1,0.996815286624204,0.669934640522876,1,1,1,1,1,1,0,1,0.224025974025974,1,0.0789473684210526,1,1,1,1,0,0.958730158730159,1,1,0,0.756578947368421,1,0.503246753246753,0,0.983974358974359,1,1,0.0347003154574132,0.204472843450479,0,0.016025641025641,1,1,0,1,0,0,0,0.923076923076923,0,0,0.965299684542587,0.0196078431372549,0.984025559105431,1,1,1,0.178343949044586,0,0,0,0,0,1,0.549152542372881,1,1,1,0,0
"2",0,1,1,0.966767371601209,1,1,1,0.489296636085627,0,0.00589970501474926,1,1,0.975155279503106,0.05,0,1,1,1,1,0,0.00313479623824451,0.304075235109718,0,0,0,0,0,0,1,0,0.755351681957186,0,0.920382165605096,0,0,0,0,1,0.040625,0,0,1,0.228125,0,0.478527607361963,1,0.00943396226415094,0,0,0.960122699386503,0.788519637462236,1,0.984326018808777,0,0,1,0,1,1,1,0.0803858520900322,1,1,0.0272727272727273,0.981132075471698,0.0123839009287926,0,0,0,0.796296296296296,1,1,1,1,1,0,0.481967213114754,0,0,0,1,1
"3",0,1,1,0.96551724137931,1,1,1,0.442307692307692,0,0.00961538461538462,1,1,0.973597359735974,0.0622950819672131,0,1,1,1,1,0,0.00327868852459016,0.306451612903226,0,0,0,0,0,0,1,0,0.759375,0,0.930693069306931,0,0,0,0,1,0.0553745928338762,0,0,1,0.201986754966887,0,0.546925566343042,1,0.0194805194805195,0,0,0.974763406940063,0.792332268370607,1,0.97444089456869,0,0,1,0,1,1,1,0.0930232558139535,1,1,0.0352564102564103,0.980132450331126,0.0163398692810458,0,0,0,0.815873015873016,1,1,1,1,1,0,0.523809523809524,0,0,0,1,1
"4",0.0348101265822785,0.966767371601209,0.96551724137931,1,0.96996996996997,0.980645161290323,0.97444089456869,0.419753086419753,0.0358306188925081,0.033434650455927,0.968847352024922,0.969230769230769,0.996825396825397,0.037037037037037,0.027190332326284,0.978193146417445,0.960912052117264,0.975384615384615,0.968152866242038,0.0333333333333333,0.0220820189274448,0.247648902821317,0.0365853658536585,0.0307692307692308,0.0326797385620915,0.035031847133758,0.0340557275541796,0.0344827586206897,0.972727272727273,0.03125,0.788819875776398,0.0293159609120521,0.893416927899687,0.0154798761609907,0.0294117647058824,0.0340557275541796,0.0383386581469649,0.961904761904762,0.0747663551401869,0.0304878048780488,0.0326797385620915,0.971608832807571,0.249201277955272,0.0349206349206349,0.523076923076923,0.96875,0.0448717948717949,0.0286624203821656,0.0194805194805195,0.953416149068323,0.806646525679758,0.96969696969697,0.974603174603175,0.0288461538461538,0.0319488817891374,0.973770491803279,0.0185185185185185,0.96969696969697,0.967948717948718,0.969040247678019,0.032258064516129,0.969135802469136,0.970873786407767,0.0615384615384615,0.990595611285266,0.0351437699680511,0.0184615384615385,0.0323624595469256,0.0272727272727273,0.773993808049536,0.972727272727273,0.974193548387097,0.964968152866242,0.96875,0.984375,0.0340557275541796,0.572847682119205,0.0249221183800623,0.037037037037037,0.0247678018575851,0.970967741935484,0.978193146417445
"5",0,1,1,0.96996996996997,1,1,1,0.467065868263473,0,0.00898203592814371,1,1,0.978328173374613,0.062111801242236,0,1,1,1,1,0,0.00304878048780488,0.29595015576324,0,0,0,0,0,0,1,0,0.764525993883792,0,0.93167701863354,0,0,0,0,1,0.0483383685800604,0,0,1,0.21671826625387,0,0.513846153846154,1,0.0182370820668693,0,0,0.960725075528701,0.784431137724551,1,0.975609756097561,0,0,1,0,1,1,1,0.0846394984326019,1,1,0.0388059701492537,0.987577639751553,0.0124223602484472,0,0,0,0.802985074626866,1,1,1,1,1,0,0.508196721311475,0,0,0,1,1
"6",0,1,1,0.980645161290323,1,1,1,0.439490445859873,0,0.00619195046439629,1,1,0.990322580645161,0.0480769230769231,0,1,1,1,1,0,0,0.271844660194175,0,0,0,0,0,0,1,0,0.765822784810127,0,0.911475409836066,0,0,0,0,1,0.0422077922077922,0,0,1,0.201986754966887,0,0.512820512820513,1,0.0126984126984127,0,0,0.971428571428571,0.789473684210526,1,0.974522292993631,0,0,1,0,1,1,1,0.0721311475409836,1,1,0.0344827586206897,0.98705501618123,0.00967741935483871,0,0,0,0.809375,1,1,1,1,1,0,0.5,0,0,0,1,1
"7",0,1,1,0.97444089456869,1,1,1,0.455696202531646,0,0.00958466453674121,1,1,0.984025559105431,0.0512820512820513,0,1,1,1,1,0,0.00315457413249211,0.298360655737705,0,0,0,0,0,0,1,0,0.784565916398714,0,0.931147540983607,0,0,0,0,1,0.0392156862745098,0,0,1,0.219354838709677,0,0.520376175548589,1,0.016025641025641,0,0,0.96875,0.80448717948718,1,0.97444089456869,0,0,1,0,1,1,1,0.0726072607260726,1,1,0.0314465408805031,0.983766233766234,0.00974025974025974,0,0,0,0.812698412698413,1,1,1,1,1,0,0.494880546075085,0,0,0,1,1
"8",0.529032258064516,0.489296636085627,0.442307692307692,0.419753086419753,0.467065868263473,0.439490445859873,0.455696202531646,1,0.532051282051282,0.558558558558559,0.445141065830721,0.43558282208589,0.415625,0.555205047318612,0.547112462006079,0.385321100917431,0.456026058631922,0.43613707165109,0.456869009584665,0.553892215568862,0.546583850931677,0.699059561128527,0.527777777777778,0.544303797468354,0.535031847133758,0.561514195583596,0.530864197530864,0.528481012658228,0.44,0.544025157232704,0.350931677018634,0.565217391304348,0.556962025316456,0.596923076923077,0.529411764705882,0.537037037037037,0.520504731861199,0.46031746031746,0.5375,0.536050156739812,0.585209003215434,0.454545454545455,0.721518987341772,0.564263322884012,0.125391849529781,0.498480243161094,0.5,0.539936102236422,0.548387096774194,0.425076452599388,0.367601246105919,0.474916387959866,0.444444444444444,0.550161812297735,0.533546325878594,0.463258785942492,0.553846153846154,0.437689969604863,0.484276729559748,0.464396284829721,0.598101265822785,0.48297213622291,0.473186119873817,0.477203647416413,0.411214953271028,0.487421383647799,0.521341463414634,0.556270096463023,0.532934131736527,0.251533742331288,0.468277945619335,0.449367088607595,0.492307692307692,0.423197492163009,0.417197452229299,0.521341463414634,0.284313725490196,0.539432176656151,0.532507739938081,0.553125,0.452229299363057,0.426332288401254
"9",1,0,0,0.0358306188925081,0,0,0,0.532051282051282,1,0.990353697749196,0,0,0.0227272727272727,0.938511326860841,1,0,0,0,0,1,0.996763754045307,0.677740863787375,1,1,1,1,1,1,0,1,0.231974921630094,1,0.0559210526315789,1,1,1,1,0,0.952229299363057,1,1,0,0.764705882352941,1,0.472668810289389,0,0.980707395498392,1,1,0.0415335463258786,0.203225806451613,0,0.028391167192429,1,1,0,1,0,0,0,0.917491749174917,0,0,0.965299684542587,0.0164473684210526,0.984025559105431,1,1,1,0.177993527508091,0,0,0,0,0,1,0.496598639455782,1,1,1,0,0
"10",0.993630573248408,0.00589970501474926,0.00961538461538462,0.033434650455927,0.00898203592814371,0.00619195046439629,0.00958466453674121,0.558558558558559,0.990353697749196,1,0.009375,0.00914634146341463,0.0278637770897833,0.938650306748466,0.993920972644377,0.00303951367781155,0.00651465798045603,0.00911854103343465,0.00632911392405063,0.991071428571429,0.996815286624204,0.710691823899371,0.993808049535604,0.996894409937888,0.990476190476191,0.990506329113924,0.99388379204893,0.990683229813665,0.00906344410876133,0.990476190476191,0.243827160493827,0.990228013029316,0.078125,0.996904024767802,1,0.99388379204893,0.990566037735849,0.00974025974025974,0.95046439628483,0.996923076923077,0.990506329113924,0.00958466453674121,0.781931464174455,0.993730407523511,0.495440729483283,0.00309597523219814,0.987261146496815,0.990536277602524,0.993506493506494,0.0425531914893617,0.222560975609756,0.00336700336700337,0.0186915887850467,0.990353697749196,0.990654205607477,0.00980392156862745,0.996960486322188,0.00914634146341463,0.009375,0.00303951367781155,0.93015873015873,0.00611620795107034,0.009375,0.966360856269113,0.0282131661442006,0.980952380952381,1,0.990445859872611,0.990936555891239,0.207951070336391,0.00611620795107034,0.00643086816720257,0.00632911392405063,0.00923076923076923,0.00625,0.993846153846154,0.477272727272727,0.99375,0.990936555891239,0.990625,0.0062111801242236,0.00928792569659443
