"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82"
"1",1,0,0,0,0,0,0,0.141935483870968,0.184210526315789,0,0,0,0,0,0,0,0,0,0,0.108359133126935,0,0,0,0,0.378378378378378,0.0099009900990099,0.14968152866242,0.857142857142857,0,0.165016501650165,0,0.712837837837838,0,0.16875,0.0102040816326531,0.220447284345048,0.090032154340836,0,0,0,0.0289389067524116,0,0.00657894736842105,0.432692307692308,0,0,0,0,0.147157190635452,0,0,0,0,0.0495049504950495,0,0,0.977917981072555,0.2,0,0,0.374581939799331,0,0,0.056782334384858,0,0,0.060126582278481,0.166666666666667,0,0,0,0,0,0,0,0,0.00338983050847458,0.782051282051282,0.770967741935484,0.474842767295597,0,0
"2",0,1,0.470219435736677,0.0604229607250755,0.285285285285285,0.136222910216718,0.282131661442006,0.0122324159021407,0,0,0.82484076433121,0.00314465408805031,0.0590062111801242,0,0,0.164086687306502,0.789473684210526,0.0642201834862385,0.277602523659306,0,0,0,0,0,0,0,0,0,0.0690690690690691,0,0.00611620795107034,0,0.54140127388535,0,0,0,0,0.601910828025478,0,0,0,0.746130030959752,0,0,0,0.622699386503067,0,0,0,0,0,0.666666666666667,0,0,0,0.198051948051948,0,0.306060606060606,0.60062893081761,0.184615384615385,0,0.261398176291793,0.172523961661342,0,0.0943396226415094,0,0,0,0,0,0.929878048780488,0.198717948717949,0.594339622641509,0.134375,0.00943396226415094,0,0,0,0,0,0,0.646687697160883
"3",0,0.470219435736677,1,0.288401253918495,0.635220125786163,0.628289473684211,0.561056105610561,0,0,0,0.368932038834951,0.0258899676375405,0.64026402640264,0,0,0.56957928802589,0.131034482758621,0.194174757281553,0.601307189542484,0,0,0,0.0754098360655738,0,0,0,0,0,0.214285714285714,0,0.0125,0,0.0528052805280528,0,0,0,0,0.0949152542372881,0.0456026058631922,0,0,0.213114754098361,0,0,0,0.0909090909090909,0.00649350649350649,0,0,0.00315457413249211,0,0.119047619047619,0,0,0,0.560137457044674,0,0.0282131661442006,0.112956810631229,0.561056105610561,0,0.572368421052632,0.576666666666667,0,0.480132450331126,0,0,0,0,0,0.445512820512821,0.581939799331104,0.0397350993377483,0.54375,0.0336700336700337,0,0.0952380952380952,0,0,0,0.0170648464163823,0.217948717948718
"4",0,0.0604229607250755,0.288401253918495,1,0.456456456456456,0.570967741935484,0.476038338658147,0,0,0,0,0.415384615384615,0.482539682539683,0,0,0.492211838006231,0.00325732899022801,0.123076923076923,0.426751592356688,0,0,0,0.00609756097560976,0.00307692307692308,0,0.0191082802547771,0.00309597523219814,0,0.00606060606060606,0,0.198757763975155,0,0,0,0,0,0,0.00952380952380952,0,0,0,0.00315457413249211,0.0223642172523962,0,0,0.109375,0,0,0.00324675324675325,0.0248447204968944,0.0604229607250755,0.0134680134680135,0.336507936507937,0,0.00638977635782748,0.485245901639344,0,0,0.16025641025641,0.473684210526316,0,0.475308641975309,0.456310679611651,0.0307692307692308,0.61128526645768,0.0191693290734824,0,0,0.00303030303030303,0,0.0151515151515152,0.506451612903226,0,0.475,0.3875,0.0123839009287926,0.0894039735099338,0,0.0123456790123457,0.00309597523219814,0.267741935483871,0.124610591900312
"5",0,0.285285285285285,0.635220125786163,0.456456456456456,1,0.934984520123839,0.905362776025237,0,0,0,0.0519877675840979,0.0331325301204819,0.656346749226006,0,0,0.876923076923077,0.171339563862928,0.299093655589124,0.975077881619938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807453416149068,0,0,0,0,0.180124223602484,0,0,0,0.294478527607362,0,0,0,0.347305389221557,0,0,0,0.00302114803625378,0,0.231511254019293,0.00304878048780488,0,0,0.871382636655949,0,0.101796407185629,0.122257053291536,0.88719512195122,0,0.894578313253012,0.855345911949686,0,0.732919254658385,0,0,0,0,0,0.167164179104478,0.921383647798742,0.148606811145511,0.832317073170732,0.0372670807453416,0,0,0,0,0,0.0191082802547771,0.341389728096677
"6",0,0.136222910216718,0.628289473684211,0.570967741935484,0.934984520123839,1,0.950331125827815,0,0,0,0,0.0326797385620915,0.812903225806452,0,0,0.980769230769231,0.0646258503401361,0.320987654320988,0.92483660130719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101639344262295,0,0,0,0.105769230769231,0,0,0,0.201298701298701,0,0,0,0.00952380952380952,0,0.101694915254237,0,0,0,0.996621621621622,0,0.0249221183800623,0.0792079207920792,0.971518987341772,0,0.968253968253968,0.983606557377049,0,0.909385113268608,0,0,0,0,0,0.0769230769230769,0.996710526315789,0.065359477124183,0.968553459119497,0.0423452768729642,0,0,0,0,0,0.0165562913907285,0.277955271565495
"7",0,0.282131661442006,0.561056105610561,0.476038338658147,0.905362776025237,0.950331125827815,1,0.00316455696202532,0,0,0.0456026058631922,0.0313479623824451,0.603833865814696,0,0,0.879365079365079,0.123745819397993,0.30625,0.882736156351791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039344262295082,0,0,0,0,0.142394822006472,0,0,0,0.243506493506494,0,0,0,0.33015873015873,0,0,0,0.009375,0,0.207612456747405,0.00319488817891374,0,0,0.914089347079038,0,0.059190031152648,0.108552631578947,0.816455696202532,0,0.981012658227848,0.907051282051282,0,0.785714285714286,0,0,0,0,0,0.167701863354037,0.939799331103679,0.12621359223301,0.853420195439739,0.0365448504983389,0,0,0,0,0,0.01,0.254071661237785
"8",0.141935483870968,0.0122324159021407,0,0,0,0,0.00316455696202532,1,0,0,0.0282131661442006,0,0,0,0.121580547112462,0,0.0195439739413681,0,0,0,0,0.322884012539185,0,0.901898734177215,0.00318471337579618,0.596214511041009,0,0.0822784810126582,0,0,0,0,0.107594936708861,0,0,0,0,0.0698412698412698,0,0.00313479623824451,0.771704180064309,0.0470219435736677,0.45253164556962,0.210031347962382,0.00313479623824451,0.00911854103343465,0,0,0.0290322580645161,0,0.00311526479750779,0.0568561872909699,0.00634920634920635,0.300970873786408,0.00319488817891374,0,0.203076923076923,0.367781155015198,0.00628930817610063,0,0.0411392405063291,0,0,0,0,0.364779874213836,0,0,0.733532934131736,0,0.00906344410876133,0,0.0676923076923077,0,0.0159235668789809,0,0,0.0883280757097792,0.0402476780185759,0,0,0.00940438871473354
"9",0.184210526315789,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.865814696485623,0,0,0,0,0.00996677740863787,0.0131147540983607,0.729032258064516,0.314569536423841,0,0.967105263157895,0.00940438871473354,0.368243243243243,0,0.990415335463259,0.02,0.987301587301587,0.00327868852459016,0,0,0,0.151815181518152,0,0.0163398692810458,0.817589576547231,0,0,0,0.00961538461538462,0.970099667774086,0,0,0,0,0,0,0,0.148387096774194,0,0,0,0,0,0,0.198738170347003,0,0.00319488817891374,0.350157728706625,0.996732026143791,0.0093167701863354,0,0,0,0,0,0,0.009375,0,0.0977198697068404,0.347962382445141,0,0,0
"10",0,0,0,0,0,0,0,0,0,1,0,0,0.00928792569659443,0.0644171779141104,0,0,0,0,0,0,0.866242038216561,0.0188679245283019,0.114551083591331,0,0.0349206349206349,0,0.0152905198776758,0,0.0241691842900302,0,0,0,0.00625,0.00619195046439629,0.288961038961039,0,0.559748427672956,0,0.065015479876161,0.255384615384615,0,0,0,0,0.209726443768997,0,0.101910828025478,0.621451104100946,0.00649350649350649,0.322188449848024,0,0,0,0,0,0,0,0,0,0,0.450793650793651,0,0,0.553516819571865,0,0,0.261538461538462,0,0,0.0795107033639144,0,0,0,0,0,0.455384615384615,0.665584415584416,0,0.0332326283987915,0.44375,0,0
